BPM
60.0
108.0
60.0
66.0
72.0
60.0
78.0
66.0
60.0
60.0
66.0
66.0
78.0
78.0
66.0
78.0
78.0
78.0
78.0
78.0
66.0
78.0
66.0
78.0
78.0
66.0
66.0
66.0
66.0
66.0
66.0
66.0
66.0
66.0
66.0
66.0
66.0
66.0
66.0
66.0
66.0
66.0
66.0
84.0
84.0
108.0
108.0
84.0
66.0
96.0
108.0
108.0
72.0
72.0
72.0
72.0
72.0
78.0
72.0
102.0
102.0
102.0
102.0
90.0
90.0
102.0
102.0
96.0
96.0
96.0
96.0
96.0
96.0
96.0
96.0
96.0
96.0
96.0
96.0
96.0
96.0
96.0
96.0
96.0
60.0
90.0
60.0
60.0
78.0
60.0
60.0
120.0
102.0
96.0
120.0
120.0
120.0
96.0
114.0
96.0
114.0
114.0
96.0
96.0
90.0
90.0
90.0
90.0
114.0
114.0
96.0
72.0
90.0
72.0
72.0
120.0
120.0
72.0
60.0
120.0
60.0
60.0
60.0
60.0
72.0
72.0
72.0
72.0
72.0
72.0
72.0
60.0
60.0
120.0
120.0
120.0
120.0
120.0
120.0
84.0
120.0
120.0
120.0
120.0
96.0
96.0
96.0
96.0
96.0
72.0
96.0
72.0
72.0
72.0
72.0
72.0
72.0
72.0
72.0
72.0
72.0
72.0
72.0
72.0
72.0
72.0
72.0
72.0
72.0
90.0
60.0
60.0
60.0
60.0
60.0
60.0
60.0
60.0
60.0
60.0
60.0
60.0
102.0
102.0
102.0
102.0
114.0
96.0
96.0
96.0
84.0
114.0
114.0
72.0
96.0
96.0
96.0
96.0
96.0
96.0
84.0
78.0
78.0
60.0
84.0
96.0
84.0
96.0
108.0
114.0
114.0
78.0
78.0
78.0
66.0
66.0
84.0
84.0
66.0
66.0
60.0
60.0
60.0
60.0
60.0
60.0
60.0
84.0
84.0
60.0
96.0
96.0
96.0
96.0
96.0
96.0
96.0
96.0
96.0
114.0
96.0
60.0
96.0
96.0
96.0
114.0
114.0
90.0
90.0
90.0
90.0
90.0
90.0
90.0
72.0
90.0
90.0
60.0
72.0
72.0
60.0
72.0
72.0
72.0
108.0
66.0
66.0
66.0
66.0
66.0
66.0
66.0
66.0
66.0
66.0
66.0
66.0
66.0
66.0
66.0
66.0
96.0
60.0
60.0
60.0
60.0
60.0
60.0
84.0
84.0
84.0
78.0
78.0
78.0
78.0
84.0
84.0
66.0
84.0
84.0
84.0
108.0
108.0
96.0
96.0
96.0
96.0
84.0
84.0
84.0
96.0
96.0
84.0
108.0
60.0
60.0
60.0
60.0
60.0
60.0
72.0
72.0
78.0
78.0
78.0
78.0
72.0
72.0
72.0
108.0
108.0
108.0
108.0
108.0
90.0
90.0
66.0
66.0
114.0
102.0
66.0
114.0
114.0
78.0
60.0
96.0
114.0
96.0
96.0
96.0
90.0
108.0
66.0
60.0
96.0
66.0
66.0
66.0
108.0
66.0
66.0
66.0
66.0
84.0
66.0
96.0
84.0
84.0
84.0
72.0
90.0
60.0
90.0
72.0
114.0
114.0
114.0
114.0
114.0
60.0
114.0
114.0
114.0
108.0
66.0
114.0
114.0
66.0
108.0
66.0
66.0
66.0
66.0
66.0
66.0
78.0
66.0
66.0
60.0
72.0
